,County,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Total Population,GeoType,GEOID,GeoName,TotalPop,discuss,discussOppose,CO2limits,CO2limitsOppose,trustclimsciSST,trustclimsciSSTOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,fundrenewables,fundrenewablesOppose,mediaweekly,mediaweeklyOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose
236,"McLean County, Kentucky",74.04730617608409,21.638195356986426,0.328515111695138,3.000438020148927,9610,County,21149,"McLean County, Kentucky",6576,26.932,73.089,58.659,39.217,66.077,31.092,72.16,26.785999999999998,61.717,36.692,79.919,18.798,,,62.803999999999995,15.945,47.388999999999996,36.874,39.147,32.484,51.824,48.11,34.756,53.878,52.467,36.509,56.369,29.811,65.078,22.808000000000003,64.221,25.456999999999997,44.888000000000005,54.148999999999994
237,"Montgomery County, Kansas",72.83833777854255,21.999483782156073,1.7637443000946398,3.3984341392067448,34876,County,20125,"Montgomery County, Kansas",22979,28.148000000000003,71.89699999999999,57.071999999999996,41.525,63.248999999999995,33.944,68.157,30.553,57.863,40.785,78.175,20.699,,,61.725,19.121,44.599,39.25,37.766,36.532,47.351000000000006,52.633,33.22,57.218999999999994,49.556000000000004,41.706,54.178000000000004,34.205,62.88,26.503,61.5,28.96,42.763999999999996,57.006
238,"Hamilton County, Kansas",81.46399055489965,13.45926800472255,1.5348288075560803,3.541912632821724,2636,County,20075,"Hamilton County, Kansas",1678,29.523000000000003,70.303,56.604,42.246,59.19,38.187,64.711,33.685,55.411,42.631,77.208,20.979,,,60.9,18.783,44.382,38.28,38.031,34.794000000000004,48.62,51.208999999999996,36.437,54.663999999999994,52.013999999999996,39.5,55.756,32.394,62.812,26.625999999999998,61.137,28.773000000000003,43.214,56.54
239,"Pawnee County, Kansas",71.9446579554189,21.790930053804765,1.306687163720215,4.957724827056111,6683,County,20145,"Pawnee County, Kansas",4967,28.645,71.335,57.352,41.376000000000005,62.233999999999995,35.032,66.92,31.718000000000004,58.284,40.329,79.128,19.862000000000002,,,60.655,19.910999999999998,44.038000000000004,38.565,39.405,36.361,46.713,53.268,32.589,58.77,49.105,42.964,54.215,34.981,62.16,27.995,60.865,29.886999999999997,41.748000000000005,58.0
240,"Calaveras County, California",58.52959613145876,34.64672696337423,1.81337870511328,4.7729918509895235,46063,County,6009,"Calaveras County, California",33623,34.985,64.953,62.972,35.635999999999996,66.003,30.537,71.413,27.31,62.268,36.379,81.428,17.935,,,67.643,14.85,49.211000000000006,34.691,46.637,32.186,54.105,45.611000000000004,36.951,54.003,54.426,37.785,59.693999999999996,29.528000000000002,67.094,23.051,67.32300000000001,23.489,48.242,51.148999999999994
241,"Randolph County, Arkansas",70.68046409532771,22.342427093132645,0.8309814989024772,3.182815929758545,18013,County,5121,"Randolph County, Arkansas",12314,27.691999999999997,72.292,61.748999999999995,36.626,63.25,33.497,68.03,30.997,58.297,40.248000000000005,76.973,22.221,,,60.865,18.124000000000002,44.78,39.539,38.835,34.498000000000005,49.141999999999996,50.802,33.525999999999996,54.858000000000004,50.353,38.997,55.098,31.956999999999997,63.833,24.298000000000002,64.15,24.348000000000003,44.656000000000006,54.821999999999996
242,"Humboldt County, California",32.3552146509692,58.259008205494105,5.351409204423831,3.469496967534784,131813,County,6023,"Humboldt County, California",90886,39.593,60.358000000000004,73.638,25.281999999999996,74.176,22.609,76.837,21.495,70.264,28.537,84.29299999999999,14.809000000000001,,,76.64399999999999,9.732000000000001,58.574,29.14,57.742,25.479,63.382,36.417,41.236999999999995,50.041000000000004,61.50899999999999,31.239,67.183,23.333000000000002,74.274,17.426,74.514,17.929000000000002,54.971000000000004,44.422
243,"Sussex County, Delaware",59.167028937569704,37.168049596461714,1.0433402007295822,2.6215812652390045,190935,County,10005,"Sussex County, Delaware",148311,29.826999999999998,70.217,67.045,32.036,71.68,27.256,74.355,24.986,65.168,34.271,80.778,18.554000000000002,,,66.47,14.436,50.47,33.588,45.71,30.029,54.66,45.111000000000004,37.012,51.423,54.41,34.912,59.733999999999995,27.807,67.296,21.165,65.834,22.448,47.492,52.531000000000006
244,"Ashley County, Arkansas",66.03983669429668,29.790919213163427,0.4206359025114438,1.929976493876036,22095,County,5003,"Ashley County, Arkansas",14635,25.326999999999998,74.736,60.95399999999999,37.143,62.917,33.178000000000004,68.78699999999999,30.038,59.427,39.063,75.873,23.355,,,61.908,15.179,44.393,40.525999999999996,35.792,31.955,49.156000000000006,50.788000000000004,35.361999999999995,49.31100000000001,50.608999999999995,35.217,54.745,29.143,61.536,23.017,62.215,22.915,46.508,52.913000000000004
245,"Mobile County, Alabama",55.74923341514319,41.881545043363296,0.4639291987734643,1.9052923427200448,409161,County,1097,"Mobile County, Alabama",271571,27.621,72.572,65.801,32.547,69.253,28.085,73.69800000000001,25.006999999999998,62.56100000000001,36.66,79.959,18.719,,,63.821999999999996,13.285,47.716,37.008,42.482,28.833000000000002,51.688,48.453,37.29,47.21,54.271,32.102,57.979,25.593000000000004,62.122,21.891,62.166000000000004,22.932,48.823,50.262
